Description,Price,Auction,Lot number,Condition,Damage,Mileage,Date of sale
Volvo Xc60 3.2L 2010 Black 3.2L vin: YV4982DL7A2120865,1525,IAAI,28639502,Run and Drive,Front End,130389 miles (Not Required/Exempt),29.10.2020
Volvo S60 T5 2012 White 2.5L vin: YV1622FS2C2027180,2300,IAAI,28583656,Run and Drive,Mechanical,175214 miles (Actual),29.10.2020
Volvo S40 2011 Gray 2.5L vin: YV1672MS8B2542946,175,IAAI,28524895,Stationary,Front End,110522 miles (Inoperable Digital Dash),29.10.2020
Volvo Xc60 3.2L 2010 Gray 3.2L vin: YV4960DLXA2084017,2050,IAAI,28515905,Run and Drive,Vandalized,84592 miles (Actual),29.10.2020
Volvo Xc60 T5 Drive-E Platinum 2016 Black 2.0L vin: YV440MDMXG2808843,6650,IAAI,28479618,Starts,Right Side,63971 mile (Actual),29.10.2020
Volvo C70 T5 2013 Black 2.5L vin: YV1672MC9DJ138460,3825,IAAI,28470572,Run and Drive,Right Rear,46268 miles (Actual),29.10.2020
Volvo S90 Momentum 2018 Black 2.0L vin: LVY982AK6JP028995,15275,IAAI,28453794,Run and Drive,Left Front,37899 miles (Actual),29.10.2020
Volvo Xc90 I6 2011 Silver 3.2L vin: YV4952CY2B1605007,500,IAAI,28436416,Starts,Suspension,191081 mile (Actual),29.10.2020
Volvo S60 T5 2012 Black 2.5L vin: YV1622FS3C2136005,2625,IAAI,28356810,Run and Drive,Front End,83052 miles (Actual),29.10.2020
Volvo Vn 2010 Unknown vin: 4V4NC9EJ0AN291885,3250,IAAI,28189040,Unknown,Left and Right Side,Odometer Not Required/Exempt miles (Actual),29.10.2020
Volvo Xc90 T6 2016 Black 2.0L vin: YV4A22PL0G1023953,700,IAAI,28115135,Stationary,Total Burn,1 mile (Not Actual),29.10.2020
Volvo S60 Premier 2016 Blue 2.5L vin: YV1612TK4G2407537,2550,IAAI,28033519,Starts,Front and Rear,55989 miles (Actual),29.10.2020
Volvo S90 T5/Momentum 2018 Black 2.0L vin: LVY982MKXJP036870,7200,IAAI,26585614,Stationary,Front and Rear,26646 miles (Actual),29.10.2020
Volvo Xc70 T6 Platinum 2015 Red 3.0L vin: YV4902ND2F1202241,7475,IAAI,28527089,Stationary,Flood,94212 miles (Actual),29.10.2020
Volvo S40 2.4L 2008 Gray 2.4L vin: YV1MS390482375349,700,IAAI,28493810,Run and Drive,Left Rear,122000 miles (Not Required/Exempt),29.10.2020
Volvo S60 T5 2012 Charcoal 2.4L 5 vin: YV1622FS7C2110703,1100,Copart,53479730,Run And Drive,Mechanical,149407 miles (Actual),28.10.2020
Volvo Xc90 V8 2009 White 4.4L 8 vin: YV4CZ852891510063,1650,Copart,53155030,Run And Drive,Minor Dent/Scratches,137441 mile (Actual),28.10.2020
Volvo Xc90 3.2 2008 White 3.2L 6 vin: YV4CY982781420941,550,Copart,53012310,Enhanced Vehicles,Side,193095 miles (Exempt),28.10.2020
Volvo Xc90 3.2 2008 Silver 3.2L 6 vin: YV4CZ982381423090,650,Copart,52881760,Run And Drive,Minor Dent/Scratches,163585 miles (Actual),28.10.2020
Volvo Xc60 T6 2011 Burn 3.0L 6 vin: YV4902DZ7B2187057,175,Copart,52633010,Enhanced Vehicles,Burn,0 miles (Not Actual),28.10.2020
Volvo S40 T5 2008 Blue 2.5L 5 vin: YV1MS672982374610,1250,Copart,52027300,Enhanced Vehicles,Minor Dent/Scratches,112142 miles (Exempt),27.10.2020
Volvo S60 T5 2012 Silver 2.4L 5 vin: YV1622FSXC2035947,1550,Copart,51771190,Enhanced Vehicles,Burn - Engine,86154 miles (Actual),28.10.2020
Volvo Xc70 3.2 2009 Black 3.2L 6 vin: YV4BZ982291049861,1450,Copart,51756060,Run And Drive,Vandalism,192052 miles (Actual),15.10.2020
Volvo Vn Vnl 2009 Blue 12.8L 6 vin: 4V4NC9EJ39N283520,6100,Copart,51736200,Run And Drive,Front End,1040430 miles (Exempt),28.10.2020
Volvo Xc70 2008 White 3.2L 6 vin: YV4BZ982481018660,575,Copart,51668520,Engine Start Program,Front End,141786 miles (Actual),27.10.2020
Volvo C70 T5 2011 Red 2.5L 5 vin: YV1672MC3BJ108061,3050,Copart,51305120,Engine Start Program,Front End,74550 miles (Actual),28.10.2020
Volvo S60 T6 2012 White 3.0L 6 vin: YV1902FH2C2081327,2200,Copart,51262010,Run And Drive,Front End,118538 miles (Actual),28.10.2020
Volvo C70 T5 2012 Black 2.5L 5 vin: YV1672MC3CJ129087,3300,Copart,51046160,Run And Drive,Front End,52025 miles (Actual),28.10.2020
Volvo S60 Premier 2015 Black 2.0L 4 vin: YV149MFK9F1353499,2750,Copart,50928940,Engine Start Program,Front End,0 miles (Not Actual),28.10.2020
Volvo Xc90 3.2 2008 White 3.2L 6 vin: YV4CZ982X81477079,1050,Copart,50371630,Run And Drive,Rear End,144941 mile (Actual),28.10.2020
Volvo Xc60 T5 Inscription 2017 White 2.0L 4 vin: YV440MDU7H2202403,1450,Copart,49609560,Enhanced Vehicles,Front End,19135 miles (Not Actual),28.10.2020
Volvo S80 3.2 2010 Black 3.2L 6 vin: YV1982AS8A1118931,650,Copart,49536700,Enhanced Vehicles,Front End,137971 mile (Exempt),27.10.2020
Volvo Xc60 T5 Inscription 2020 White 2.0L 4 vin: YV4102DL3L1491194,16600,Copart,49496250,Engine Start Program,Front End,10173 miles (Actual),28.10.2020
Volvo Xc90 T6 2018 Gray 2.0L 4 vin: YV4A22PK1J1321300,17600,Copart,49452450,Enhanced Vehicles,Front End,0 miles (Not Actual),28.10.2020
Volvo Xc90 3.2 2013 Brown 3.2L 6 vin: YV4952CZ6D1629287,2700,Copart,47388630,Run And Drive,Front End,122969 miles (Actual),28.10.2020
Volvo Xc90 3.2 2012 White 3.2L 6 vin: YV4952CZ2C1620858,2200,Copart,46813800,Run And Drive,Rear End,156241 mile (Actual),27.10.2020
Volvo S60 Cross Country T5 2016 Gray 2.5L 5 vin: YV4612UM0G2001449,7800,Copart,46525080,Run And Drive,Top/Roof,48745 miles (Actual),28.10.2020
Volvo C30 T5 2011 Blue 2.5L 5 vin: YV1672MK2B2231951,1250,Copart,46396520,Run And Drive,Top/Roof,134221 mile (Actual),28.10.2020
Volvo C70 T5 2011 Blue 2.5L 5 vin: YV1672MC8BJ109464,4800,Copart,46144280,Unknown,Undercarriage,52146 miles (Actual),27.10.2020
Volvo S60 2017 White 2.0L 4 vin: YV126MFL3H2421298,1250,Copart,41755430,Enhanced Vehicles,All Over,0 miles (Not Actual),28.10.2020
Volvo Xc60 3.2 2012 Blue 3.2L 6 vin: YV4952DL9C2294061,500,Copart,40780120,Enhanced Vehicles,Rollover,109732 miles (Actual),27.10.2020
Volvo Xc60 3.0T 2010 Silver 3.0L vin: YV4992DZ0A2124435,1200,IAAI,28678829,Run and Drive,Front End,176099 miles (Actual),29.10.2020
Volvo Xc90 I6 2008 Black 3.2L vin: YV4CZ982581478141,975,IAAI,28282652,Stationary,Left Side,Odometer Not Required/Exempt miles (Actual),28.10.2020
Volvo Vn Vnl 2012 Unknown vin: 4V4NC9EH5CN543873,7975,IAAI,28823140,Run and Drive,Unknown,836805 miles (Actual),28.10.2020
Volvo Xc60 3.0T 2010 Brown 3.0L vin: YV4992DZ0A2020737,1000,IAAI,28727627,Stationary,Hail,0 miles (Not Required/Exempt),28.10.2020
Volvo Xc90 I6 2010 Black 3.2L vin: YV4982CY6A1536845,825,IAAI,28698884,Run and Drive,Front and Rear,176286 miles (Not Required/Exempt),28.10.2020
Volvo Xc60 3.0L 2012 Silver 3.0L vin: YV4902DZ7C2254130,6500,IAAI,28680004,Run and Drive,Front End,64604 miles (Actual),28.10.2020
Volvo C70 2008 Light Blue 2.5L vin: YV1MC67218J047668,375,IAAI,28656757,Starts,Front End,142515 miles (Not Required/Exempt),28.10.2020
Volvo Xc70 3.2L 2010 Black 3.2L vin: YV4960BZ5A1082950,500,IAAI,28651710,Stationary,Mechanical,252910 miles (Actual),28.10.2020
Volvo Xc60 T6 2013 Silver 3.0L vin: YV4902DZ3D2447327,6225,IAAI,28643439,Run and Drive,Right Side,115008 miles (Actual),28.10.2020
Volvo S60 T5 2012 Blue 2.5L vin: YV1622FS1C2134429,1600,IAAI,28632650,Run and Drive,Front End,150000 miles (Not Actual),28.10.2020
Volvo Vn Vnl 2009 Red vin: 4V4NC9TH79N278398,3850,IAAI,28630055,Unknown,Left Front,Odometer Not Required/Exempt miles (Actual),28.10.2020
Volvo Xc60 T6 2013 White 3.0L vin: YV4902DZ7D2414265,6325,IAAI,28617800,Run and Drive,Front End,109995 miles (Actual),28.10.2020
Volvo S60 T5 2012 Black 2.5L vin: YV1622FS4C2034633,2200,IAAI,28597477,Run and Drive,Right Side,101301 mile (Actual),28.10.2020
Volvo S40 2010 Silver 2.4L vin: YV1382MS5A2489749,475,IAAI,28590425,Stationary,Normal Wear and Tear,161490 miles (Actual),28.10.2020
Volvo Xc60 3.2L 2011 Black 3.2L vin: YV4940DZ7B2197774,2625,IAAI,28583204,Run and Drive,Front End,66130 miles (Actual),28.10.2020
Volvo Xc90 I6 2008 Black 3.2L vin: YV4CZ982881470521,500,IAAI,28573630,Stationary,Right Side,Odometer Not Required/Exempt miles (Not Required/Exempt),28.10.2020
Volvo Xc70 T6 Platinum 2015 Red 3.0L vin: YV4902ND2F1202241,5350,IAAI,28527089,Stationary,Flood,94212 miles (Actual),28.10.2020
Volvo C30 2011 Silver 2.5L vin: YV1672MK2B2201784,1150,IAAI,28515393,Run and Drive,Front End,247042 miles (Actual),28.10.2020
Volvo S40 2.4L 2008 Gray 2.4L vin: YV1MS390482375349,400,IAAI,28493810,Run and Drive,Left Rear,122000 miles (Not Required/Exempt),28.10.2020
Volvo C70 T5 2012 Black 2.5L vin: YV1672MC3CJ130532,1100,IAAI,28487585,Run and Drive,Front End,93095 miles (Actual),28.10.2020
Volvo Xc90 I6 2010 Gray 3.2L vin: YV4982CZ8A1565322,3150,IAAI,28465894,Run and Drive,Right Side,98144 miles (Actual),28.10.2020
Volvo Xc90 I6 2010 Silver 3.2L vin: YV4982CY9A1532532,1000,IAAI,28464506,Run and Drive,Front End,163115 miles (Not Required/Exempt),28.10.2020
Volvo V60 T5 Drive-E Premier 2015 White 2.0L vin: YV140MEK3F1241275,6900,IAAI,28376172,Run and Drive,Unknown,43450 miles (Actual),28.10.2020
Volvo S40 2010 White 2.4L vin: YV1382MS5A2501382,475,IAAI,28358403,Stationary,Front End,155356 miles (Not Required/Exempt),28.10.2020
Volvo Vn Vnl 2014 Unknown vin: 4V4NC9EJ0EN162373,23200,IAAI,28347181,Unknown,Front End,Odometer Not Required/Exempt miles (Actual),28.10.2020
Volvo Xc70 T5 Premier 2016 White 2.5L vin: YV4612NK8G1269474,10525,IAAI,28322527,Run and Drive,Rear,52879 miles (Actual),28.10.2020
Volvo Xc70 2008 Black 3.2L vin: YV4BZ982X81034250,825,IAAI,28308532,Run and Drive,Left Front,145477 miles (Not Required/Exempt),28.10.2020
Volvo Xc90 Momentum 2020 Gray 2.0L vin: YV4BR0CK8L1619095,20450,IAAI,28252777,Stationary,Front End,1179 miles (Actual),28.10.2020
Volvo S60 T5 2012 Blue 2.5L vin: YV1622FS9C2110346,1450,IAAI,28247739,Stationary,Right Side,152494 miles (Actual),28.10.2020
Volvo S60 T5 2013 Silver 2.5L vin: YV1612FHXD2172069,1525,IAAI,28235308,Stationary,Flood,1 mile (Inoperable Digital Dash),28.10.2020
Volvo Xc90 Inscription 2017 Black 2.0L vin: YV4A22PL1H1164760,16175,IAAI,28222236,Stationary,Flood,1 mile (Inoperable Digital Dash),28.10.2020
Volvo Xc60 Momentum 2018 Light Blue 2.0L vin: YV4102RK1J1076629,16025,IAAI,28216030,Run and Drive,Front End,21595 miles (Actual),28.10.2020
Volvo C30 2012 White 2.5L vin: YV1672MK1C2273755,3075,IAAI,28214063,Run and Drive,Rear,80688 miles (Actual),28.10.2020
Volvo Xc60 Momentum 2018 White 2.0L vin: LYVA22RK1JB121770,22775,IAAI,28191174,Run and Drive,Right Side,24866 miles (Actual),28.10.2020
Volvo S60 Premier 2015 Black 2.0L vin: YV126MFK2F1360150,3850,IAAI,28065111,Run and Drive,Front End,62645 miles (Actual),28.10.2020
Volvo Xc60 T5 2015 Black 2.0L vin: YV440MDJ5F2719122,1025,IAAI,28010623,Stationary,Engine Burn,1 mile (Inoperable Digital Dash),28.10.2020
Volvo Vn Vnl 2015 Unknown vin: 4V4NC9EJ3FN908011,17750,IAAI,27984595,Unknown,Front End,200000 miles (Not Actual),28.10.2020
Volvo S60 Premier 2015 Silver 2.0L vin: YV140MFK3F1346946,4525,IAAI,27978151,Run and Drive,Theft,70731 mile (Actual),28.10.2020
Volvo S60 T6 2011 Black 3.0L vin: YV1902FH2B2006836,1450,IAAI,27944592,Stationary,Left Side,131033 miles (Actual),28.10.2020
Volvo V70 2010 Silver 3.2L vin: YV1960BW6A1155794,625,IAAI,27916005,Run and Drive,Front End,130039 miles (Actual),28.10.2020
Volvo Xc90 I6 R-Design 2011 White 3.2L vin: YV4952CF3B1594758,2100,IAAI,27759650,Stationary,Engine Damage,171223 miles (Actual),28.10.2020
Volvo Xc60 T5/Platinum 2015 Blue 2.0L vin: YV440MDM2F2743095,8175,IAAI,27726654,Run and Drive,Left Side,45802 miles (Exceeds Mechanical Limits),28.10.2020
Volvo Xc60 T6/Dynamic 2017 White 2.0L vin: YV449MRR6H2025479,8300,IAAI,27588277,Run and Drive,Front and Rear,51730 miles (Actual),28.10.2020
Volvo Xc60 3.2L 2012 Silver 3.2L vin: YV4952DL8C2343640,1775,IAAI,28466779,Run and Drive,Flood,145407 miles (Actual),28.10.2020
Volvo Vn Vnl 2015 Unknown vin: 4V4NC9EH8FN916859,6850,IAAI,27536102,Unknown,Right Side,1 mile (Not Actual),28.10.2020
Volvo Xc90 2013 Black 3.2L vin: YV4952CZ7D1636197,2900,IAAI,28379534,Run and Drive,Left Side,165631 mile (Actual),28.10.2020
Volvo Vn Vnl 2014 Unknown vin: 4V4NC9EG2EN178286,7775,IAAI,26734999,Unknown,Left Side,999999 miles (Not Actual),28.10.2020
Volvo C70 2008 Dark Blue 2.5L vin: YV1MC67268J052946,975,IAAI,26158502,Run and Drive,Left Side,127482 miles (Not Required/Exempt),28.10.2020
Volvo Vn 2011 Unknown vin: 4V5NC9TJ0BN536202,2550,IAAI,25823182,Unknown,Right Side,Odometer Not Required/Exempt miles (Not Actual),28.10.2020
Volvo S80 T6 2013 Black 3.0L vin: YV1902AH9D1171721,3000,IAAI,27707047,Stationary,Front and Rear,118823 miles (Actual),28.10.2020
Volvo Xc90 3.2 2011 White 3.2L 6 vin: YV4952CZ1B1572137,3950,Copart,53170270,Enhanced Vehicles,Mechanical,104572 miles (Actual),26.10.2020
Volvo S40 T5 2008 Gray 2.5L 5 vin: YV1MH672382390557,2050,Copart,52928800,Run And Drive,Minor Dent/Scratches,86243 miles (Actual),27.10.2020
Volvo Xc90 3.2 2008 White 3.2L 6 vin: YV4CY982581451119,1000,Copart,52477110,Run And Drive,Front End,173843 miles (Exempt),27.10.2020
Volvo Xc70 2008 Black 3.2L 6 vin: YV4BZ982081037657,2700,Copart,52300390,Run And Drive,Rear End,136894 miles (Actual),27.10.2020
